day	hour	value
1	0	215
1	1	213
1	2	189
1	3	128
1	4	28
1	5	13
1	6	9
1	7	12
1	8	14
1	9	24
1	10	30
1	11	36
1	12	42
1	13	40
1	14	32
1	15	26
1	16	54
1	17	39
1	18	47
1	19	67
1	20	53
1	21	79
1	22	51
1	23	44
2	0	23
2	1	15
2	2	12
2	3	15
2	4	3
2	5	19
2	6	13
2	7	32
2	8	40
2	9	28
2	10	27
2	11	30
2	12	33
2	13	31
2	14	48
2	15	44
2	16	66
2	17	48
2	18	76
2	19	70
2	20	101
2	21	113
2	22	65
2	23	78
3	0	44
3	1	26
3	2	25
3	3	23
3	4	14
3	5	10
3	6	26
3	7	49
3	8	40
3	9	47
3	10	41
3	11	40
3	12	31
3	13	51
3	14	68
3	15	91
3	16	97
3	17	102
3	18	86
3	19	123
3	20	151
3	21	179
3	22	164
3	23	91
4	0	54
4	1	50
4	2	47
4	3	21
4	4	17
4	5	15
4	6	21
4	7	34
4	8	58
4	9	34
4	10	40
4	11	38
4	12	32
4	13	57
4	14	82
4	15	96
4	16	120
4	17	110
4	18	106
4	19	116
4	20	176
4	21	238
4	22	197
4	23	168
5	0	85
5	1	63
5	2	37
5	3	35
5	4	25
5	5	24
5	6	31
5	7	41
5	8	60
5	9	42
5	10	48
5	11	36
5	12	56
5	13	57
5	14	70
5	15	100
5	16	106
5	17	102
5	18	100
5	19	102
5	20	168
5	21	234
5	22	319
5	23	203
6	0	140
6	1	111
6	2	55
6	3	47
6	4	22
6	5	19
6	6	26
6	7	39
6	8	37
6	9	42
6	10	27
6	11	37
6	12	50
6	13	74
6	14	88
6	15	97
6	16	92
6	17	62
6	18	89
6	19	94
6	20	83
6	21	153
6	22	162
6	23	177
7	0	144
7	1	181
7	2	139
7	3	82
7	4	19
7	5	3
7	6	13
7	7	25
7	8	12
7	9	26
7	10	25
7	11	29
7	12	34
7	13	39
7	14	39
7	15	59
7	16	97
7	17	65
7	18	106
7	19	96
7	20	105
7	21	119
7	22	128
7	23	202
