day	hour	value
1	0	417
1	1	349
1	2	248
1	3	157
1	4	11
1	5	6
1	6	8
1	7	9
1	8	5
1	9	28
1	10	20
1	11	26
1	12	41
1	13	44
1	14	49
1	15	43
1	16	64
1	17	61
1	18	50
1	19	63
1	20	60
1	21	66
1	22	62
1	23	29
2	0	35
2	1	26
2	2	16
2	3	15
2	4	1
2	5	8
2	6	16
2	7	23
2	8	27
2	9	16
2	10	20
2	11	28
2	12	41
2	13	39
2	14	40
2	15	52
2	16	65
2	17	75
2	18	50
2	19	82
2	20	112
2	21	105
2	22	84
2	23	65
3	0	48
3	1	43
3	2	41
3	3	13
3	4	4
3	5	6
3	6	24
3	7	31
3	8	24
3	9	45
3	10	33
3	11	49
3	12	41
3	13	66
3	14	53
3	15	73
3	16	71
3	17	95
3	18	79
3	19	106
3	20	170
3	21	214
3	22	168
3	23	67
4	0	36
4	1	31
4	2	16
4	3	18
4	4	9
4	5	10
4	6	29
4	7	23
4	8	26
4	9	33
4	10	45
4	11	44
4	12	41
4	13	70
4	14	64
4	15	78
4	16	85
4	17	89
4	18	103
4	19	151
4	20	206
4	21	245
4	22	245
4	23	131
5	0	56
5	1	42
5	2	38
5	3	20
5	4	5
5	5	15
5	6	27
5	7	29
5	8	40
5	9	34
5	10	32
5	11	38
5	12	50
5	13	58
5	14	64
5	15	88
5	16	78
5	17	98
5	18	101
5	19	120
5	20	176
5	21	210
5	22	269
5	23	286
6	0	110
6	1	86
6	2	52
6	3	29
6	4	16
6	5	12
6	6	15
6	7	24
6	8	29
6	9	24
6	10	36
6	11	44
6	12	47
6	13	53
6	14	51
6	15	79
6	16	62
6	17	75
6	18	111
6	19	97
6	20	110
6	21	171
6	22	193
6	23	260
7	0	330
7	1	283
7	2	200
7	3	84
7	4	8
7	5	3
7	6	8
7	7	9
7	8	19
7	9	16
7	10	25
7	11	23
7	12	34
7	13	40
7	14	64
7	15	66
7	16	137
7	17	137
7	18	110
7	19	101
7	20	104
7	21	114
7	22	200
7	23	265
